country,port_name,locode
United Kingdom (UK),Burnham on Crouch,GBBOC
United Kingdom (UK),Burnham on Crouch,GBBOC
United Kingdom (UK),Burnham on Crouch,GBBOC
United Kingdom (UK),Burnham on Crouch,GBBOC
United Kingdom (UK),Burnham on Crouch,GBBOC
United Kingdom (UK),Burnham on Crouch,GBBOC
United Kingdom (UK),Burnham on Crouch,GBBOC
United Kingdom (UK),Burnham on Crouch,GBBOC
United Kingdom (UK),Burnham on Crouch,GBBOC
United Kingdom (UK),Burnham on Crouch,GBBOC
Sweden,Byxelkrok,SEBYX
Sweden,Byxelkrok,SEBYX
Sweden,Byxelkrok,SEBYX
Sweden,Byxelkrok,SEBYX
Sweden,Byxelkrok,SEBYX
Sweden,Byxelkrok,SEBYX
Sweden,Byxelkrok,SEBYX
Sweden,Byxelkrok,SEBYX
Sweden,Byxelkrok,SEBYX
Sweden,Byxelkrok,SEBYX
Sweden,Byxelkrok,SEBYX
Sweden,Byxelkrok,SEBYX
Sweden,Byxelkrok,SEBYX
Sweden,Byxelkrok,SEBYX
Sweden,Byxelkrok,SEBYX
Sweden,Byxelkrok,SEBYX
Sweden,Byxelkrok,SEBYX
Sweden,Byxelkrok,SEBYX
Sweden,Byxelkrok,SEBYX
Sweden,Byxelkrok,SEBYX
Portugal,Cais do Pico,PTCDP
Portugal,Cais do Pico,PTCDP
Portugal,Cais do Pico,PTCDP
Portugal,Cais do Pico,PTCDP
Portugal,Cais do Pico,PTCDP
